t,S,I,R
2021-01-11,4841893,6556,51551
2021-01-12,4841447,6390,52163
2021-01-13,4840928,6148,52924
2021-01-14,4840392,5965,53643
2021-01-15,4839883,5955,54162
2021-01-16,4839299,6522,54179
2021-01-17,4838854,6958,54188
2021-01-18,4838553,5713,55734
2021-01-19,4838088,5723,56189
2021-01-20,4837588,5744,56668
2021-01-21,4837024,5847,57129
2021-01-22,4836516,5901,57583
2021-01-23,4835989,6428,57583
2021-01-24,4835518,6899,57583
2021-01-25,4835172,5843,58985
2021-01-26,4834766,5714,59520
2021-01-27,4834281,5769,59950
2021-01-28,4833735,5940,60325
2021-01-29,4833221,6039,60740
2021-01-30,4832813,6447,60740
2021-01-31,4832340,6920,60740
2021-02-01,4832063,5610,62327
2021-02-02,4831634,6019,62347
2021-02-03,4831220,5903,62877
2021-02-04,4830755,5927,63318
2021-02-05,4830284,5903,63813
2021-02-06,4829856,6331,63813
2021-02-07,4829391,6796,63813
2021-02-08,4829048,4088,66864
2021-02-09,4828613,4506,66881
2021-02-10,4828144,4420,67436
2021-02-11,4827695,4424,67881
2021-02-12,4827250,4454,68296
2021-02-13,4826798,4896,68306
2021-02-14,4826367,5322,68311
2021-02-15,4826019,5663,68318
2021-02-16,4825717,5961,68322
2021-02-17,4825290,4226,70484
2021-02-18,4824673,4404,70923
2021-02-19,4824165,4538,71297
2021-02-20,4823661,5042,71297
2021-02-21,4823186,5517,71297
2021-02-22,4822737,4615,72648
2021-02-23,4822142,4769,73089
2021-02-24,4821650,4793,73557
2021-02-25,4821218,4653,74129
2021-02-26,4820660,4797,74543
2021-02-27,4820091,5366,74543
2021-02-28,4819546,5911,74543
2021-03-01,4819071,4790,76139
2021-03-02,4818633,4747,76620
2021-03-03,4818091,4718,77191
2021-03-04,4817527,4808,77665
2021-03-05,4816893,4975,78132
2021-03-06,4816348,5517,78135
2021-03-07,4815816,6045,78139
2021-03-08,4815431,4941,79628
2021-03-09,4814881,4956,80163
2021-03-10,4814350,4947,80703
2021-03-11,4813781,4993,81226
2021-03-12,4813133,5145,81722
2021-03-13,4812578,5696,81726
2021-03-14,4812087,6184,81729
2021-03-15,4811627,5076,83297
2021-03-16,4811071,5086,83843
2021-03-17,4810573,4933,84494
2021-03-18,4809951,2017,88032
2021-03-19,4809214,5287,85499
2021-03-20,4808658,5843,85499
2021-03-21,4808060,6441,85499
2021-03-22,4807429,5388,87183
2021-03-23,4806747,5508,87745
2021-03-24,4806031,5671,88298
2021-03-25,4805231,5972,88797
2021-03-26,4804323,6362,89315
2021-03-27,4803387,7295,89318
2021-03-28,4802582,8099,89319
2021-03-29,4801805,7018,91177
2021-03-30,4800965,7179,91856
2021-03-31,4799952,7524,92524
2021-04-01,4799120,7685,93195
2021-04-02,4798046,8759,93195
2021-04-03,4796969,9836,93195
2021-04-04,4795970,10835,93195
2021-04-05,4795080,8628,96292
2021-04-06,4794012,8808,97180
2021-04-07,4793015,8868,98117
2021-04-08,4791722,9323,98955
2021-04-09,4790460,9709,99831
2021-04-10,4790460,9709,99831
