t,S,I,R
2020-08-10,4895935,445,3620
2020-08-11,4895889,472,3639
2020-08-12,4895804,531,3665
2020-08-13,4895726,578,3696
2020-08-14,4895642,629,3729
2020-08-15,4895642,629,3729
2020-08-16,4895642,629,3729
2020-08-17,4895406,743,3851
2020-08-18,4895323,775,3902
2020-08-19,4895255,798,3947
2020-08-20,4895175,780,4045
2020-08-21,4895085,824,4091
2020-08-22,4895085,824,4091
2020-08-23,4895085,824,4091
2020-08-24,4894816,913,4271
2020-08-25,4894758,925,4317
2020-08-26,4894696,902,4402
2020-08-27,4894628,915,4457
2020-08-28,4894504,982,4514
2020-08-29,4894504,982,4514
2020-08-30,4894504,982,4514
2020-08-31,4894210,1116,4674
2020-09-01,4894152,1134,4714
2020-09-02,4894048,1138,4814
2020-09-03,4893959,1187,4854
2020-09-04,4893838,1245,4917
2020-09-05,4893838,1245,4917
2020-09-06,4893838,1245,4917
2020-09-07,4893838,1245,4917
2020-09-08,4893409,1400,5191
2020-09-09,4893309,1378,5313
2020-09-10,4893170,1427,5403
2020-09-11,4893038,1476,5486
2020-09-12,4893038,1476,5486
2020-09-13,4893038,1476,5486
2020-09-14,4892721,1614,5665
2020-09-15,4892624,1609,5767
2020-09-16,4892502,1633,5865
2020-09-17,4892337,1724,5939
2020-09-18,4892158,1822,6020
2020-09-19,4892158,1822,6020
2020-09-20,4892158,1822,6020
2020-09-21,4891792,2189,6019
2020-09-22,4891696,1488,6816
2020-09-23,4891605,1399,6996
2020-09-24,4891457,1397,7146
2020-09-25,4891359,1375,7266
2020-09-26,4891359,1375,7266
2020-09-27,4891359,1375,7266
2020-09-28,4891092,1329,7579
2020-09-29,4890987,1294,7719
2020-09-30,4890862,1313,7825
2020-10-01,4890780,1290,7930
2020-10-02,4890619,1330,8051
2020-10-03,4890619,1330,8051
2020-10-04,4890619,1330,8051
2020-10-05,4890261,1382,8357
2020-10-06,4890159,1413,8428
2020-10-07,4890044,1416,8540
2020-10-08,4889934,1423,8643
2020-10-09,4889815,1438,8747
2020-10-10,4889815,1438,8747
2020-10-11,4889815,1438,8747
2020-10-12,4889815,1438,8747
2020-10-13,4889266,1510,9224
2020-10-14,4889108,1530,9362
2020-10-15,4888966,1527,9507
2020-10-16,4888811,1551,9638
2020-10-17,4888811,1551,9638
2020-10-18,4888811,1551,9638
2020-10-19,4888313,1681,10006
2020-10-20,4888146,1729,10125
2020-10-21,4887943,1808,10249
2020-10-22,4887669,1961,10370
2020-10-23,4887446,2051,10503
2020-10-24,4887446,2051,10503
2020-10-25,4887446,2051,10503
2020-10-26,4886629,2378,10993
2020-10-27,4886412,2375,11213
2020-10-28,4886125,2370,11505
2020-10-29,4885891,2399,11710
2020-10-30,4885619,2448,11933
2020-10-31,4885267,2800,11933
2020-11-01,4884878,3189,11933
2020-11-02,4884499,3025,12476
2020-11-03,4884200,3098,12702
2020-11-04,4883865,3203,12932
2020-11-05,4883440,3481,13079
2020-11-06,4882851,3839,13310
2020-11-07,4882284,4405,13311
2020-11-08,4881748,4941,13311
2020-11-09,4881286,5008,13706
2020-11-10,4880761,5251,13988
2020-11-11,4880226,5786,13988
2020-11-12,4879632,5991,14377
2020-11-13,4879015,5794,15191
2020-11-14,4878361,6448,15191
2020-11-15,4877702,7107,15191
2020-11-16,4877056,6558,16386
2020-11-17,4876339,6882,16779
2020-11-18,4875578,7188,17234
2020-11-19,4875042,7431,17527
2020-11-20,4874526,7666,17808
2020-11-21,4873813,8379,17808
2020-11-22,4873187,9005,17808
2020-11-23,4872593,7990,19417
2020-11-24,4871652,8385,19963
2020-11-25,4870914,8901,20185
2020-11-26,4870027,9591,20382
2020-11-27,4869116,9185,21699
2020-11-28,4868366,9920,21714
2020-11-29,4867358,10911,21731
2020-11-30,4866762,9686,23552
2020-12-01,4866106,9663,24231
2020-12-02,4865272,9835,24893
2020-12-03,4864579,10012,25409
2020-12-04,4863868,9982,26150
2020-12-05,4863221,10611,26168
2020-12-06,4862495,11327,26178
2020-12-07,4861848,10338,27814
2020-12-08,4861282,10278,28440
2020-12-09,4860663,10330,29007
2020-12-10,4859940,10525,29535
2020-12-11,4859203,10601,30196
2020-12-12,4858505,11271,30224
2020-12-13,4857816,11946,30238
2020-12-14,4857057,11089,31854
2020-12-15,4856537,10929,32534
2020-12-16,4855897,11035,33068
2020-12-17,4855224,11100,33676
2020-12-18,4854600,11087,34313
2020-12-19,4853948,11711,34341
2020-12-20,4853462,12189,34349
2020-12-21,4852933,10847,36220
2020-12-22,4852490,10639,36871
2020-12-23,4851973,10279,37748
2020-12-24,4851391,10017,38592
2020-12-25,4850879,10504,38617
2020-12-26,4850432,10937,38631
2020-12-27,4850008,11347,38645
2020-12-28,4849567,11777,38656
2020-12-29,4849185,8758,42057
2020-12-30,4848700,8726,42574
2020-12-31,4848010,8962,43028
2021-01-01,4847445,9527,43028
2021-01-02,4846838,10134,43028
2021-01-03,4846338,10634,43028
2021-01-04,4845799,8026,46175
2021-01-05,4845371,7676,46953
2021-01-06,4844746,7564,47690
2021-01-07,4843985,7671,48344
2021-01-08,4843368,7439,49193
2021-01-09,4842830,7966,49204
2021-01-10,4842323,8467,49210
