t,S,I,R
2020-08-10,489.5935,0.0445,0.362
2020-08-17,489.5406,0.0743,0.3851
2020-08-24,489.4816,0.0913,0.4271
2020-08-31,489.421,0.1116,0.4674
2020-09-07,489.3838,0.1245,0.4917
2020-09-14,489.2721,0.1614,0.5665
2020-09-21,489.1792,0.2189,0.6019
2020-09-28,489.1092,0.1329,0.7579
2020-10-05,489.0261,0.1382,0.8357
2020-10-12,488.9815,0.1438,0.8747
2020-10-19,488.8313,0.1681,1.0006
2020-10-26,488.6629,0.2378,1.0993
2020-11-02,488.4499,0.3025,1.2476
2020-11-09,488.1286,0.5008,1.3706
2020-11-16,487.7056,0.6558,1.6386
2020-11-23,487.2593,0.799,1.9417
2020-11-30,486.6762,0.9686,2.3552
2020-12-07,486.1848,1.0338,2.7814
2020-12-14,485.7057,1.1089,3.1854
2020-12-21,485.2933,1.0847,3.622
2020-12-28,484.9567,1.1777,3.8656
2021-01-04,484.5799,0.8026,4.6175
