ABC,MCMC,SMC
0.742391,0.430102,0.368805
0.468253,0.426361,0.369099
0.215475,0.424324,0.376507
0.37175,0.423017,0.343624
0.22063,0.420252,0.338409
0.454183,0.430585,0.366395
0.427347,0.426766,0.327231
0.291859,0.429589,0.368414
0.201466,0.427121,0.368559
0.223911,0.427145,0.368711
0.362398,0.424796,0.345658
0.20919,0.423485,0.33908
0.445138,0.426953,0.369782
0.211788,0.427847,0.364281
0.325074,0.422582,0.339235
0.380415,0.425797,0.383873
0.233546,0.424919,0.372604
0.327988,0.423012,0.337231
0.23582,0.42385,0.329679
0.328757,0.42736,0.334089
0.214673,0.423509,0.343371
0.589502,0.421921,0.325276
0.367163,0.429471,0.376603
0.203467,0.424469,0.364917
0.385531,0.424107,0.334116
0.270169,0.424954,0.339329
0.456952,0.453485,0.330506
0.224019,0.453293,0.331987
0.34829,0.425226,0.345352
0.984372,0.43183,0.337552
0.496735,0.423858,0.330014
0.324024,0.425491,0.352395
0.338764,0.428808,0.369347
0.19933,0.426705,0.373621
0.458039,0.426586,0.334846
0.538178,0.425599,0.33
0.661402,0.426051,0.344486
0.286567,0.43116,0.36895
0.366269,0.423958,0.344635
0.259638,0.423246,0.331656
0.471087,0.45287,0.340842
0.377545,0.427461,0.335447
0.340053,0.43507,0.381368
0.393929,0.423601,0.42549
0.351985,0.427681,0.368133
0.305734,0.453158,0.328775
0.264722,0.424724,0.330363
0.34737,0.426393,0.348188
0.355527,0.426951,0.384105
0.492717,0.425439,0.366689
0.213166,0.426543,0.366597
0.201739,0.427604,0.365275
0.221763,0.425161,0.376791
0.237248,0.452993,0.339556
0.31443,0.420638,0.331899
0.556413,0.424168,0.326067
1.38846,0.425789,0.339614
4.41213,0.427637,0.337407
0.783317,0.457929,0.334802
0.392993,0.427324,0.331115
0.254197,0.42802,0.330013
0.2201,0.42566,0.334504
0.433226,0.453619,0.331237
0.373431,0.423402,0.33629
0.382402,0.427068,0.366098
0.308263,0.453824,0.333657
0.214435,0.447949,0.334023
0.38688,0.435542,0.350758
0.474581,0.424737,0.330352
0.24825,0.422313,0.336193
0.228095,0.424735,0.334519
0.252709,0.421989,0.34277
0.203456,0.421081,0.336568
0.449029,0.455036,0.333871
0.287732,0.421898,0.333323
0.239881,0.423581,0.326846
0.420784,0.430361,0.370273
0.270531,0.453945,0.335098
0.351531,0.425804,0.340268
0.26241,0.424466,0.329259
0.294971,0.426767,0.375322
0.245592,0.426428,0.367744
0.250391,0.456369,0.335343
0.316913,0.424555,0.327032
0.213078,0.42435,0.327286
0.352036,0.429925,0.337368
0.301231,0.430104,0.369006
0.255891,0.43089,0.405073
0.241354,0.426048,0.365406
0.299862,0.425789,0.328249
0.284604,0.42199,0.328937
0.261833,0.425804,0.340494
0.218773,0.423671,0.34158
0.323436,0.447807,0.335004
0.462774,0.426123,0.333031
0.222987,0.419217,0.342404
0.262236,0.428996,0.332788
0.347432,0.427871,0.368293
0.451297,0.426337,0.350438
0.222802,0.422716,0.344597
0.369191,0.42935,0.365589
2.03888,0.431013,0.378056
0.398776,0.42526,0.328429
