ABC,MCMC,SMC
0.819895,6.622094,2.010469
0.628937,6.728539,1.591371
0.668658,7.031378,1.583626
0.358454,7.204531,1.426709
0.585226,7.259999,1.508094
0.330152,7.049261,1.556354
0.358147,7.332874,1.520025
0.398288,7.274415,1.465418
0.425454,7.031707,2.099039
0.71266,7.652397,1.742075
0.42834,6.656903,1.420716
1.050354,6.9493,1.607963
0.55764,6.77649,1.504605
0.344772,6.692643,1.454209
0.400753,6.498824,1.643695
0.713693,6.407729,1.537402
0.416774,6.963724,1.645404
0.50759,6.255788,1.507958
0.502977,7.265465,1.526137
0.375006,6.380138,1.411383
0.439614,6.568469,1.523141
0.52711,7.750594,1.720744
0.334607,7.118175,1.493557
0.417853,6.748472,1.504268
0.334699,7.576439,1.789342
0.433851,6.630238,1.532821
0.386243,7.151346,1.855114
0.553431,7.215693,1.567051
0.44148,6.320577,1.441871
0.479101,6.147539,1.426943
0.371705,6.250672,1.407861
0.367832,6.288848,1.447657
0.372197,6.065911,1.419369
0.361132,6.099511,1.424356
0.328429,6.335748,1.432725
1.561622,6.714742,1.435713
0.431925,6.58782,1.395306
0.366472,7.656235,1.850577
0.362964,7.288331,1.561356
0.420859,7.708578,1.542465
0.469143,7.955044,1.563661
0.433151,7.467855,1.650554
0.499446,6.462914,1.543526
0.356591,6.60332,1.526769
0.379326,6.511293,1.448569
0.429402,7.782665,1.735486
0.393423,7.320471,1.843749
0.455055,6.828165,1.596517
0.660533,7.099768,2.039627
0.551062,6.932305,1.393358
0.35373,6.247786,1.6159
0.424314,7.865487,1.499301
0.371601,6.37536,1.422738
0.35504,6.527878,1.39979
0.346685,6.283216,1.373329
0.395368,5.895851,1.423728
0.350775,6.396449,1.399118
0.370476,6.469847,1.395727
0.331066,6.016553,1.348166
0.384629,6.181915,1.501578
0.419832,5.99256,1.468443
0.356203,6.775978,1.396908
0.395671,5.9172,1.394812
0.369087,6.28281,1.375823
0.472953,6.032292,1.441278
0.442002,6.335687,1.455441
0.416431,6.424509,1.405141
0.403074,6.464128,1.447585
0.402606,6.184155,1.571695
0.589302,6.502485,1.440259
0.29099,6.109543,1.330629
0.3442,6.542307,1.423962
0.471583,6.542917,1.404689
0.482072,5.992226,1.55526
0.405556,6.431179,1.470537
0.356074,6.223809,1.390336
0.396491,6.787628,1.409402
0.416462,6.275233,1.413097
0.434862,6.231647,1.441278
0.304916,6.559269,1.370527
0.35565,6.216061,1.384517
0.332544,6.123548,1.377493
0.352651,6.103025,1.429434
0.368424,6.336504,1.42355
0.374781,6.032856,1.443356
0.398826,6.30769,1.454022
0.354862,6.458703,1.388444
0.419248,6.353494,1.424724
0.984859,6.38844,1.61061
0.459398,6.381051,1.418786
0.325578,6.392108,1.373185
0.323229,6.449144,1.375887
0.447741,6.096208,1.409437
0.498444,6.001131,1.439776
0.46513,6.186314,1.439808
0.360315,6.52494,1.384307
0.379498,6.274813,1.400455
0.438635,6.319338,1.388762
0.795736,6.480342,1.741712
0.690249,7.183189,1.787625
0.396721,6.635926,1.587162
0.493644,6.590622,1.682432
0.412975,7.551374,1.558821
0.403963,7.62215,1.648799
0.856911,7.065658,1.600701
0.376379,6.508204,1.482816
0.519551,6.773937,1.671994
0.413444,6.742189,1.795825
